CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Contract,Monthly Charges,Churn_Probability,Churn_Risk_Band
2254-DLXRI,Female,No,No,No,1,Month-to-month,79.15,0.9407,Very High
2545-EBUPK,Female,Yes,No,No,2,Month-to-month,84.05,0.9086,Very High
1452-VOQCH,Male,No,No,No,1,Month-to-month,75.1,0.8926,Very High
4912-PIGUY,Female,No,No,No,1,Month-to-month,84.6,0.8844,Very High
4927-WWOOZ,Male,No,Yes,No,2,Month-to-month,91.45,0.8791,Very High
4445-ZJNMU,Male,No,No,No,9,Month-to-month,99.3,0.8789,Very High
1628-BIZYP,Male,No,No,No,1,Month-to-month,85.0,0.8729,Very High
5043-TRZWM,Female,No,No,No,1,Month-to-month,75.55,0.8712,Very High
8622-ZLFKO,Female,No,Yes,No,6,Month-to-month,90.75,0.8652,Very High
8161-QYMTT,Male,No,No,No,7,Month-to-month,94.1,0.862,Very High
0021-IKXGC,Female,Yes,No,No,1,Month-to-month,72.1,0.8588,Very High
3489-HHPFY,Female,No,Yes,No,2,Month-to-month,84.05,0.8576,Very High
7577-SWIFR,Male,No,No,No,1,Month-to-month,89.25,0.8553,Very High
6630-UJZMY,Female,Yes,Yes,No,4,Month-to-month,83.25,0.855,Very High
2754-SDJRD,Female,Yes,No,No,8,Month-to-month,100.15,0.8464,Very High
5150-ITWWB,Male,Yes,No,No,3,Month-to-month,94.85,0.8388,Very High
8775-ERLNB,Male,Yes,Yes,No,1,Month-to-month,74.3,0.8343,Very High
7439-DKZTW,Male,No,No,No,1,Month-to-month,80.55,0.8297,Very High
1393-IMKZG,Female,No,No,No,1,Month-to-month,95.85,0.8294,Very High
9957-YODKZ,Male,Yes,Yes,No,6,Month-to-month,80.8,0.8256,Very High
4132-KALRO,Female,No,No,No,4,Month-to-month,100.85,0.8218,Very High
6969-MVBAI,Female,Yes,No,No,9,Month-to-month,90.1,0.8209,Very High
3422-GALYP,Male,No,No,No,2,Month-to-month,79.45,0.8145,Very High
9603-OAIHC,Male,Yes,No,No,1,Month-to-month,70.05,0.8122,Very High
5542-TBBWB,Male,No,No,No,1,Month-to-month,69.9,0.81,Very High
4813-HQMGZ,Female,No,Yes,No,8,Month-to-month,90.25,0.8079,Very High
2215-ZAFGX,Male,No,No,No,9,Month-to-month,85.5,0.8079,Very High
7465-ZZRVX,Male,No,No,No,1,Month-to-month,70.35,0.8076,Very High
3878-AVSOQ,Female,Yes,No,No,1,Month-to-month,71.25,0.8069,Very High
3462-BJQQA,Female,No,No,No,6,Month-to-month,89.75,0.8066,Very High
8739-XNIKG,Female,No,No,No,5,Month-to-month,84.0,0.8004,Very High
9605-WGJVW,Female,Yes,No,No,1,Month-to-month,70.2,0.7994,Very High
1640-PLFMP,Female,No,No,No,1,Month-to-month,70.25,0.7946,Very High
7398-SKNQZ,Female,No,Yes,No,3,Month-to-month,94.9,0.791,Very High
8309-IEYJD,Female,Yes,No,No,1,Month-to-month,70.6,0.7902,Very High
9334-GWGOW,Male,Yes,Yes,No,7,Month-to-month,74.85,0.7773,Very High
4298-OYIFC,Male,No,Yes,No,15,Month-to-month,103.45,0.7763,Very High
7363-QTBIW,Female,No,Yes,No,9,Month-to-month,79.75,0.7759,Very High
2077-MPJQO,Male,Yes,Yes,No,7,Month-to-month,75.4,0.7744,Very High
9617-INGJY,Male,No,No,No,1,Month-to-month,70.6,0.7702,Very High
7858-GTZSP,Female,No,No,No,12,Month-to-month,86.55,0.7666,Very High
3320-VEOYC,Male,Yes,No,No,14,Month-to-month,95.6,0.7597,Very High
1173-XZPYF,Female,No,No,No,11,Month-to-month,89.2,0.7589,Very High
3295-YVUSR,Male,Yes,No,No,2,Month-to-month,72.6,0.7574,Very High
7994-UYIVZ,Male,No,Yes,No,8,Month-to-month,85.65,0.7563,Very High
8356-WUAOJ,Female,No,Yes,No,1,Month-to-month,45.0,0.7561,Very High
5032-MIYKT,Female,No,No,No,1,Month-to-month,70.7,0.7554,Very High
0722-SVSFK,Female,No,No,No,7,Month-to-month,100.4,0.7502,Very High
6229-LSCKB,Male,Yes,No,No,6,Month-to-month,79.7,0.7451,High
1197-BVMVG,Female,Yes,No,No,4,Month-to-month,74.45,0.7431,High
0365-BZUWY,Male,No,Yes,No,17,Month-to-month,102.55,0.7419,High
4559-UWIHT,Male,No,Yes,No,14,Month-to-month,82.65,0.7411,High
1200-TUZHR,Female,Yes,No,No,8,Month-to-month,85.2,0.74,High
2262-SLNVK,Female,No,No,No,1,Month-to-month,70.1,0.7374,High
6215-NQCPY,Male,No,No,No,15,Month-to-month,99.7,0.7359,High
4234-XTNEA,Male,No,No,No,2,Month-to-month,79.95,0.7346,High
6127-IYJOZ,Male,Yes,No,No,1,Month-to-month,45.85,0.7332,High
0187-QSXOE,Male,Yes,Yes,No,7,Month-to-month,89.0,0.7329,High
4090-KPJIP,Female,No,No,No,3,Month-to-month,74.95,0.7322,High
3338-CVVEH,Male,No,No,No,12,Month-to-month,94.55,0.7307,High
9741-YLNTD,Male,No,No,No,6,Month-to-month,87.95,0.7269,High
1746-TGTWV,Male,No,Yes,No,1,Month-to-month,75.35,0.7249,High
5429-LWCMV,Female,No,No,No,12,Month-to-month,89.15,0.7202,High
9919-KNPOO,Female,No,Yes,No,21,Month-to-month,94.3,0.719,High
9094-AZPHK,Female,No,No,No,15,Month-to-month,100.15,0.7179,High
3384-CTMSF,Male,No,Yes,No,47,Month-to-month,104.1,0.714,High
4847-TAJYI,Female,Yes,No,No,6,Month-to-month,89.35,0.7136,High
0840-DFEZH,Female,No,No,No,7,Month-to-month,75.35,0.7129,High
4929-XIHVW,Male,Yes,Yes,No,2,Month-to-month,95.5,0.7117,High
2674-MIAHT,Female,No,No,No,4,Month-to-month,80.3,0.7114,High
4060-LDNLU,Male,No,No,No,7,Month-to-month,96.2,0.7103,High
2876-GZYZC,Female,No,No,No,13,Month-to-month,85.95,0.7094,High
6860-YRJZP,Male,Yes,No,No,9,Month-to-month,74.05,0.7093,High
4395-PZMSN,Male,Yes,No,No,5,Month-to-month,85.55,0.7087,High
3096-GKWEB,Male,No,Yes,No,18,Month-to-month,94.75,0.7083,High
4115-NZRKS,Female,Yes,No,No,7,Month-to-month,89.15,0.7069,High
6116-RFVHN,Female,No,Yes,No,34,Month-to-month,100.45,0.7064,High
1751-NCDLI,Male,Yes,Yes,No,46,Month-to-month,98.85,0.7062,High
7365-BVCJH,Male,No,No,No,1,Month-to-month,24.4,0.7061,High
4706-DGAHW,Male,Yes,No,No,1,Month-to-month,45.2,0.7051,High
6185-TASNN,Male,Yes,No,No,1,Month-to-month,46.3,0.7051,High
6856-RAURS,Female,No,No,No,2,Month-to-month,74.9,0.7032,High
8040-MNRTF,Female,No,No,No,1,Month-to-month,71.1,0.7016,High
5348-CAGXB,Male,No,No,No,12,Month-to-month,89.55,0.7012,High
3317-VLGQT,Female,No,Yes,No,14,Month-to-month,78.1,0.701,High
9840-EFJQB,Female,No,No,No,1,Month-to-month,74.35,0.7003,High
5937-EORGB,Male,Yes,Yes,No,15,Month-to-month,96.5,0.7001,High
3199-XGZCY,Female,No,No,No,8,Month-to-month,75.25,0.7,High
8541-QVFKM,Female,No,No,No,8,Month-to-month,73.5,0.7,High
3030-YDNRM,Male,No,No,No,8,Month-to-month,74.85,0.6993,High
7590-VHVEG,Female,No,Yes,No,1,Month-to-month,29.85,0.698,High
0168-XZKBB,Female,No,Yes,No,19,Month-to-month,86.85,0.6975,High
5129-JLPIS,Male,No,No,No,25,Month-to-month,105.5,0.6971,High
5995-SNNEW,Male,Yes,Yes,No,23,Month-to-month,104.45,0.6968,High
9290-SHCMB,Female,Yes,No,No,13,Month-to-month,96.85,0.6967,High
4633-MKHYU,Female,No,No,No,9,Month-to-month,88.4,0.6954,High
4884-ZTHVF,Female,Yes,No,No,8,Month-to-month,87.1,0.6954,High
3841-CONLJ,Female,No,Yes,No,1,Month-to-month,35.0,0.6939,High
6407-UTSLV,Female,Yes,No,No,2,Month-to-month,83.8,0.6933,High
7952-OBOYL,Male,No,No,No,3,Month-to-month,89.85,0.6931,High
6362-QHAFM,Male,No,Yes,No,42,One year,108.3,0.6917,High
3312-UUMZW,Male,No,Yes,No,32,Month-to-month,98.85,0.6906,High
2371-JQHZZ,Male,No,Yes,No,24,Month-to-month,93.0,0.6901,High
6350-XFYGW,Male,Yes,No,No,4,Month-to-month,94.75,0.69,High
2123-AGEEN,Female,Yes,No,No,7,Month-to-month,84.35,0.6898,High
6435-SRWBJ,Female,No,No,No,5,Month-to-month,82.75,0.6868,High
0420-HLGXF,Female,Yes,No,No,39,Month-to-month,99.75,0.6861,High
6357-JJPQT,Female,No,No,No,3,Month-to-month,80.5,0.6846,High
3197-ARFOY,Female,Yes,No,No,19,Month-to-month,105.0,0.6845,High
3318-NMQXL,Male,No,No,No,3,Month-to-month,92.0,0.6843,High
3452-GWUIN,Female,Yes,Yes,No,19,Month-to-month,94.95,0.6837,High
4536-PLEQY,Male,No,Yes,No,12,Month-to-month,85.05,0.6812,High
2135-DQWAQ,Female,No,No,No,5,Month-to-month,85.3,0.6805,High
8313-NDOIA,Female,No,No,No,24,Month-to-month,104.15,0.6804,High
5628-FCGYG,Male,No,No,No,21,Month-to-month,84.1,0.6797,High
0434-CSFON,Female,No,Yes,No,47,Month-to-month,100.5,0.6793,High
5216-WASFJ,Female,Yes,Yes,No,31,Month-to-month,84.85,0.6784,High
5117-IFGPS,Male,Yes,Yes,No,29,Month-to-month,84.3,0.6773,High
7321-VGNKU,Female,No,Yes,No,2,Month-to-month,70.35,0.6771,High
5382-SOYZL,Male,No,No,No,22,Month-to-month,95.1,0.6753,High
2675-DHUTR,Male,Yes,Yes,No,58,Month-to-month,98.9,0.6752,High
8132-YPVBX,Female,No,No,No,6,Month-to-month,85.95,0.6741,High
7668-XCFYV,Female,Yes,Yes,No,17,Month-to-month,92.55,0.6737,High
5956-YHHRX,Male,Yes,No,No,21,Month-to-month,104.35,0.6722,High
7315-WYOAW,Male,No,No,No,13,Month-to-month,100.75,0.672,High
7392-YYPYJ,Male,No,No,No,22,Month-to-month,100.65,0.6719,High
8087-LGYHQ,Male,No,No,No,9,Month-to-month,94.05,0.6717,High
9822-OAOVB,Female,No,No,No,1,Month-to-month,55.45,0.6702,High
7044-YAACC,Male,Yes,Yes,No,4,Month-to-month,70.2,0.6698,High
8903-WMRNW,Female,No,Yes,No,15,Month-to-month,101.75,0.6685,High
4749-OJKQU,Female,No,No,No,4,Month-to-month,75.65,0.667,High
7225-CBZPL,Male,Yes,Yes,No,17,Month-to-month,94.8,0.6669,High
4686-UXDML,Female,No,No,No,21,Month-to-month,99.85,0.6659,High
1960-UYCNN,Male,No,No,No,10,Month-to-month,95.25,0.6654,High
8242-SOQUO,Female,Yes,No,No,5,Month-to-month,84.7,0.6643,High
7394-LWLYN,Female,No,No,No,2,Month-to-month,70.15,0.6632,High
3427-GGZZI,Female,No,Yes,No,19,Month-to-month,89.1,0.6625,High
9927-DSWDF,Male,No,Yes,No,22,Month-to-month,104.6,0.6622,High
2799-ARNLO,Female,Yes,Yes,No,5,Month-to-month,69.35,0.6619,High
5599-HVLTW,Female,Yes,No,No,14,Month-to-month,80.35,0.6611,High
6048-QBXKL,Female,Yes,No,No,2,Month-to-month,56.55,0.6589,High
6734-GMPVK,Male,No,No,No,5,Month-to-month,105.3,0.6588,High
3420-YJLQT,Female,No,No,No,2,Month-to-month,79.55,0.6587,High
7181-OQCUT,Male,No,No,No,21,Month-to-month,103.85,0.6569,High
5935-FCCNB,Female,Yes,No,No,17,Month-to-month,94.2,0.6563,High
3411-WLRSQ,Female,Yes,Yes,No,3,Month-to-month,74.6,0.6553,High
2880-FPNAE,Male,Yes,Yes,No,2,Month-to-month,74.2,0.6549,High
4301-VVZKA,Male,No,Yes,No,16,Month-to-month,75.4,0.6535,High
8873-GLDMH,Female,No,No,No,6,Month-to-month,73.85,0.6533,High
9717-QEBGU,Male,No,No,No,2,Month-to-month,70.3,0.6528,High
5606-AMZBO,Female,No,Yes,No,10,Month-to-month,78.15,0.6522,High
6851-WEFYX,Male,Yes,Yes,No,35,Month-to-month,100.8,0.6509,High
4482-EWFMI,Female,No,No,No,2,Month-to-month,69.7,0.6506,High
5501-TVMGM,Male,No,No,No,1,Month-to-month,55.25,0.6499,High
3292-PBZEJ,Male,Yes,No,No,11,Month-to-month,111.4,0.6493,High
8875-AKBYH,Male,Yes,No,No,20,Month-to-month,84.35,0.6486,High
5701-YVSVF,Female,Yes,Yes,No,11,Month-to-month,82.9,0.6483,High
4853-OITSN,Male,No,Yes,No,5,Month-to-month,89.15,0.6477,High
5331-RGMTT,Male,Yes,Yes,No,54,Month-to-month,99.05,0.6472,High
4123-DVHPH,Male,No,Yes,No,9,Month-to-month,88.05,0.6472,High
4059-IIEBK,Female,No,No,No,7,Month-to-month,78.55,0.6462,High
7354-OIJLX,Male,No,No,No,9,Month-to-month,75.85,0.6461,High
5928-QLDHB,Male,No,No,No,9,Month-to-month,76.25,0.6461,High
8720-RQSBJ,Male,Yes,No,No,1,Month-to-month,44.0,0.6461,High
2235-DWLJU,Female,Yes,No,No,6,Month-to-month,44.4,0.6452,High
1104-TNLZA,Male,Yes,Yes,No,28,Month-to-month,105.8,0.6448,High
2985-FMWYF,Female,No,No,No,23,Month-to-month,93.5,0.6445,High
9360-OMDZZ,Male,No,No,No,24,Month-to-month,94.1,0.6437,High
0817-HSUSE,Male,No,No,No,1,Month-to-month,75.5,0.6423,High
